M E_int S T a b c
13 0.3927444284589207 1. 287.9999999999999 0 0 0
13 0.3652266493914145 1. 288.0000000000002 0 0 0
13 0.3314911272743737 1. 287.9999999999999 0 0 0
13 0.29245804189432295 0.9999999999999998 288.00000000000006 0 0 0
13 0.2732236607417816 1.0000000000000002 288.0000000000001 0 0 0
13 0.24649366323405167 1.0000000000000002 288.0000000000003 0 0 0
13 0.23431177517471355 1.0000000000000002 288.00000000000006 0 0 0
13 0.1318128655110237 1. 287.9999999999999 0 0 0
13 0.5646387164185994 0 288.00000000000006 0 0 0
13 0.4943222532903208 0 288. 0 0 0
13 0.46065004351148325 0 288.0000000000001 0 0 0
13 0.402136229326801 0 288. 0 0 0
13 0.3835238629084417 0 288. 0 0 0
13 0.355782927249335 0 288.00000000000017 0 0 0
13 0.34537609143989834 0 287.9999999999999 0 0 0
13 0.2393049115856388 0 288.00000000000006 0 0 0
13 0.3030770369348073 2.0000000000000004 255.00000000000006 0 1.0000000000000007 0
13 0.22412371205709614 2. 254.99999999999994 0 0.9999999999999997 0
13 0.4997293177435818 0.9999999999999993 254.99999999999997 0 0.9999999999999994 0
13 0.46343307788840804 1. 254.9999999999998 0 0.9999999999999999 0
13 0.4498194726118637 0.9999999999999998 254.99999999999994 0 0.9999999999999996 0
13 0.39168744957603757 1. 255.00000000000003 0 1.0000000000000002 0
13 0.3629933603325751 0.9999999999999993 254.99999999999994 0 0.9999999999999996 0
13 0.3392487084075984 1. 254.99999999999994 0 0.9999999999999999 0
13 0.2953874551678237 1. 255.0000000000001 0 1.0000000000000002 0
13 0.19895306364759877 1.0000000000000004 255.00000000000014 0 1.0000000000000009 0
13 0.5937606283522846 0 254.99999999999977 0 0.9999999999999992 0
13 0.5276652943846111 0 254.99999999999997 0 1. 0
13 0.49141004175017694 0 255.00000000000009 0 0.9999999999999998 0
13 0.46690560790036634 0 255. 0 1.0000000000000002 0
13 0.4406944919718601 0 254.99999999999991 0 0.9999999999999994 0
13 0.39421375775742024 0 255.0000000000001 0 1.0000000000000009 0
13 0.3387987273291919 0 254.99999999999983 0 0.9999999999999993 0
13 0.3201866606489398 0 254.99999999999977 0 0.9999999999999991 0
13 0.19013051442989223 0 254.99999999999991 0 1. 0
13 0.2785211504108171 2.000000000000001 224.00000000000017 0 2.000000000000001 0
13 0.5237798882282572 1. 224.00000000000006 0 1.9999999999999998 0
13 0.4905912125484757 1. 223.99999999999991 0 1.9999999999999991 0
13 0.4233510809290601 1.0000000000000002 224.00000000000009 0 2.000000000000001 0
13 0.40667245084332965 1. 224.00000000000003 0 1.9999999999999996 0
13 0.3779588020413215 1.0000000000000004 224.00000000000009 0 2.000000000000001 0
13 0.30009538784397616 1. 224.00000000000003 0 1.9999999999999996 0
13 0.2515720997375997 1. 224.00000000000006 0 2.0000000000000013 0
13 0.5692002740799893 0 224. 0 1.9999999999999998 0
13 0.48568101968651267 0 223.9999999999999 0 1.999999999999998 0
13 0.41174534207050306 0 224. 0 2.000000000000001 0
13 0.3922533635566158 0 223.99999999999991 0 1.9999999999999991 0
